date,district,lat,lon,cases,deaths,population,incidence_rate,cfr
2018-01-01,Bulawayo,-20.1325,28.6264,12,0,653337,1.8367,0.0
2018-01-08,Bulawayo,-20.1325,28.6264,4,0,653337,0.6122,0.0
2018-01-15,Bulawayo,-20.1325,28.6264,2,0,653337,0.3061,0.0
2018-01-22,Bulawayo,-20.1325,28.6264,15,0,653337,2.2959,0.0
2018-01-29,Bulawayo,-20.1325,28.6264,1,0,653337,0.1531,0.0
2018-02-05,Bulawayo,-20.1325,28.6264,1,0,653337,0.1531,0.0
2018-02-12,Bulawayo,-20.1325,28.6264,5,0,653337,0.7653,0.0
2018-02-19,Bulawayo,-20.1325,28.6264,5,0,653337,0.7653,0.0
2018-02-26,Bulawayo,-20.1325,28.6264,11,0,653337,1.6837,0.0
2018-03-05,Bulawayo,-20.1325,28.6264,5,0,653337,0.7653,0.0
2018-03-12,Bulawayo,-20.1325,28.6264,8,0,653337,1.2245,0.0
2018-03-19,Bulawayo,-20.1325,28.6264,10,0,653337,1.5306,0.0
2018-03-26,Bulawayo,-20.1325,28.6264,13,0,653337,1.9898,0.0
2018-04-02,Bulawayo,-20.1325,28.6264,7,0,653337,1.0714,0.0
2018-04-09,Bulawayo,-20.1325,28.6264,16,0,653337,2.449,0.0
2018-04-16,Bulawayo,-20.1325,28.6264,10,0,653337,1.5306,0.0
2018-04-23,Bulawayo,-20.1325,28.6264,35,0,653337,5.3571,0.0
2018-04-30,Bulawayo,-20.1325,28.6264,17,0,653337,2.602,0.0
2018-05-07,Bulawayo,-20.1325,28.6264,15,0,653337,2.2959,0.0
2018-05-14,Bulawayo,-20.1325,28.6264,21,0,653337,3.2143,0.0
2018-05-21,Bulawayo,-20.1325,28.6264,9,0,653337,1.3775,0.0
2018-05-28,Bulawayo,-20.1325,28.6264,13,0,653337,1.9898,0.0
2018-06-04,Bulawayo,-20.1325,28.6264,12,1,653337,1.8367,0.0833
2018-06-11,Bulawayo,-20.1325,28.6264,9,0,653337,1.3775,0.0
2018-06-18,Bulawayo,-20.1325,28.6264,5,0,653337,0.7653,0.0
2018-06-25,Bulawayo,-20.1325,28.6264,5,0,653337,0.7653,0.0
2018-07-02,Bulawayo,-20.1325,28.6264,3,0,653337,0.4592,0.0
2018-07-09,Bulawayo,-20.1325,28.6264,4,0,653337,0.6122,0.0
2018-07-16,Bulawayo,-20.1325,28.6264,5,0,653337,0.7653,0.0
2018-07-23,Bulawayo,-20.1325,28.6264,1,0,653337,0.1531,0.0
2018-07-30,Bulawayo,-20.1325,28.6264,0,0,653337,0.0,0.0
2018-08-06,Bulawayo,-20.1325,28.6264,6,0,653337,0.9184,0.0
2018-08-13,Bulawayo,-20.1325,28.6264,7,0,653337,1.0714,0.0
2018-08-20,Bulawayo,-20.1325,28.6264,2,0,653337,0.3061,0.0
2018-08-27,Bulawayo,-20.1325,28.6264,2,0,653337,0.3061,0.0
2018-09-03,Bulawayo,-20.1325,28.6264,14,0,653337,2.1428,0.0
2018-09-10,Bulawayo,-20.1325,28.6264,15,0,653337,2.2959,0.0
2018-09-17,Bulawayo,-20.1325,28.6264,19,0,653337,2.9081,0.0
2018-09-24,Bulawayo,-20.1325,28.6264,15,0,653337,2.2959,0.0
2018-10-01,Bulawayo,-20.1325,28.6264,30,0,653337,4.5918,0.0
2018-10-08,Bulawayo,-20.1325,28.6264,23,0,653337,3.5204,0.0
2018-10-15,Bulawayo,-20.1325,28.6264,49,3,653337,7.5,0.0612
2018-10-22,Bulawayo,-20.1325,28.6264,15,1,653337,2.2959,0.0667
2018-10-29,Bulawayo,-20.1325,28.6264,13,1,653337,1.9898,0.0769
2018-11-05,Bulawayo,-20.1325,28.6264,71,1,653337,10.8673,0.0141
2018-11-12,Bulawayo,-20.1325,28.6264,65,0,653337,9.9489,0.0
2018-11-19,Bulawayo,-20.1325,28.6264,32,1,653337,4.8979,0.0312
2018-11-26,Bulawayo,-20.1325,28.6264,47,0,653337,7.1938,0.0
2018-12-03,Bulawayo,-20.1325,28.6264,47,1,653337,7.1938,0.0213
2018-12-10,Bulawayo,-20.1325,28.6264,32,0,653337,4.8979,0.0
2018-12-17,Bulawayo,-20.1325,28.6264,32,2,653337,4.8979,0.0625
2018-12-24,Bulawayo,-20.1325,28.6264,35,0,653337,5.3571,0.0
2018-12-31,Bulawayo,-20.1325,28.6264,20,0,653337,3.0612,0.0
2019-01-07,Bulawayo,-20.1325,28.6264,19,0,653337,2.9081,0.0
2019-01-14,Bulawayo,-20.1325,28.6264,25,0,653337,3.8265,0.0
2019-01-21,Bulawayo,-20.1325,28.6264,38,0,653337,5.8163,0.0
2019-01-28,Bulawayo,-20.1325,28.6264,17,2,653337,2.602,0.1176
2019-02-04,Bulawayo,-20.1325,28.6264,25,0,653337,3.8265,0.0
2019-02-11,Bulawayo,-20.1325,28.6264,14,0,653337,2.1428,0.0
2019-02-18,Bulawayo,-20.1325,28.6264,39,1,653337,5.9694,0.0256
2019-02-25,Bulawayo,-20.1325,28.6264,27,1,653337,4.1326,0.037
2019-03-04,Bulawayo,-20.1325,28.6264,40,1,653337,6.1224,0.025
2019-03-11,Bulawayo,-20.1325,28.6264,17,2,653337,2.602,0.1176
2019-03-18,Bulawayo,-20.1325,28.6264,12,0,653337,1.8367,0.0
2019-03-25,Bulawayo,-20.1325,28.6264,45,0,653337,6.8877,0.0
2019-04-01,Bulawayo,-20.1325,28.6264,31,0,653337,4.7449,0.0
2019-04-08,Bulawayo,-20.1325,28.6264,23,0,653337,3.5204,0.0
2019-04-15,Bulawayo,-20.1325,28.6264,27,0,653337,4.1326,0.0
2019-04-22,Bulawayo,-20.1325,28.6264,39,1,653337,5.9694,0.0256
2019-04-29,Bulawayo,-20.1325,28.6264,50,0,653337,7.653,0.0
2019-05-06,Bulawayo,-20.1325,28.6264,65,0,653337,9.9489,0.0
2019-05-13,Bulawayo,-20.1325,28.6264,28,1,653337,4.2857,0.0357
2019-05-20,Bulawayo,-20.1325,28.6264,55,1,653337,8.4183,0.0182
2019-05-27,Bulawayo,-20.1325,28.6264,17,0,653337,2.602,0.0
2019-06-03,Bulawayo,-20.1325,28.6264,4,0,653337,0.6122,0.0
2019-06-10,Bulawayo,-20.1325,28.6264,31,0,653337,4.7449,0.0
2019-06-17,Bulawayo,-20.1325,28.6264,28,0,653337,4.2857,0.0
2019-06-24,Bulawayo,-20.1325,28.6264,21,0,653337,3.2143,0.0
2019-07-01,Bulawayo,-20.1325,28.6264,6,1,653337,0.9184,0.1667
2019-07-08,Bulawayo,-20.1325,28.6264,0,0,653337,0.0,0.0
2019-07-15,Bulawayo,-20.1325,28.6264,11,0,653337,1.6837,0.0
2019-07-22,Bulawayo,-20.1325,28.6264,4,0,653337,0.6122,0.0
2019-07-29,Bulawayo,-20.1325,28.6264,6,0,653337,0.9184,0.0
2019-08-05,Bulawayo,-20.1325,28.6264,8,0,653337,1.2245,0.0
2019-08-12,Bulawayo,-20.1325,28.6264,2,0,653337,0.3061,0.0
2019-08-19,Bulawayo,-20.1325,28.6264,5,0,653337,0.7653,0.0
2019-08-26,Bulawayo,-20.1325,28.6264,7,0,653337,1.0714,0.0
2019-09-02,Bulawayo,-20.1325,28.6264,6,0,653337,0.9184,0.0
2019-09-09,Bulawayo,-20.1325,28.6264,5,0,653337,0.7653,0.0
2019-09-16,Bulawayo,-20.1325,28.6264,2,0,653337,0.3061,0.0
2019-09-23,Bulawayo,-20.1325,28.6264,6,0,653337,0.9184,0.0
2019-09-30,Bulawayo,-20.1325,28.6264,3,0,653337,0.4592,0.0
2019-10-07,Bulawayo,-20.1325,28.6264,2,0,653337,0.3061,0.0
2019-10-14,Bulawayo,-20.1325,28.6264,8,0,653337,1.2245,0.0
2019-10-21,Bulawayo,-20.1325,28.6264,20,0,653337,3.0612,0.0
2019-10-28,Bulawayo,-20.1325,28.6264,13,0,653337,1.9898,0.0
2019-11-04,Bulawayo,-20.1325,28.6264,11,0,653337,1.6837,0.0
2019-11-11,Bulawayo,-20.1325,28.6264,16,0,653337,2.449,0.0
2019-11-18,Bulawayo,-20.1325,28.6264,27,1,653337,4.1326,0.037
2019-11-25,Bulawayo,-20.1325,28.6264,4,0,653337,0.6122,0.0
2019-12-02,Bulawayo,-20.1325,28.6264,27,0,653337,4.1326,0.0
2019-12-09,Bulawayo,-20.1325,28.6264,34,0,653337,5.2041,0.0
2019-12-16,Bulawayo,-20.1325,28.6264,18,0,653337,2.7551,0.0
2019-12-23,Bulawayo,-20.1325,28.6264,5,0,653337,0.7653,0.0
2019-12-30,Bulawayo,-20.1325,28.6264,9,0,653337,1.3775,0.0
2020-01-06,Bulawayo,-20.1325,28.6264,11,0,653337,1.6837,0.0
2020-01-13,Bulawayo,-20.1325,28.6264,4,0,653337,0.6122,0.0
2020-01-20,Bulawayo,-20.1325,28.6264,13,0,653337,1.9898,0.0
2020-01-27,Bulawayo,-20.1325,28.6264,6,0,653337,0.9184,0.0
2020-02-03,Bulawayo,-20.1325,28.6264,13,0,653337,1.9898,0.0
2020-02-10,Bulawayo,-20.1325,28.6264,18,0,653337,2.7551,0.0
2020-02-17,Bulawayo,-20.1325,28.6264,5,0,653337,0.7653,0.0
2020-02-24,Bulawayo,-20.1325,28.6264,6,0,653337,0.9184,0.0
2020-03-02,Bulawayo,-20.1325,28.6264,14,0,653337,2.1428,0.0
2020-03-09,Bulawayo,-20.1325,28.6264,6,0,653337,0.9184,0.0
2020-03-16,Bulawayo,-20.1325,28.6264,33,0,653337,5.051,0.0
2020-03-23,Bulawayo,-20.1325,28.6264,26,0,653337,3.9796,0.0
2020-03-30,Bulawayo,-20.1325,28.6264,25,0,653337,3.8265,0.0
2020-04-06,Bulawayo,-20.1325,28.6264,14,0,653337,2.1428,0.0
2020-04-13,Bulawayo,-20.1325,28.6264,9,0,653337,1.3775,0.0
2020-04-20,Bulawayo,-20.1325,28.6264,22,0,653337,3.3673,0.0
2020-04-27,Bulawayo,-20.1325,28.6264,35,0,653337,5.3571,0.0
2020-05-04,Bulawayo,-20.1325,28.6264,22,0,653337,3.3673,0.0
2020-05-11,Bulawayo,-20.1325,28.6264,10,0,653337,1.5306,0.0
2020-05-18,Bulawayo,-20.1325,28.6264,7,0,653337,1.0714,0.0
2020-05-25,Bulawayo,-20.1325,28.6264,9,0,653337,1.3775,0.0
2020-06-01,Bulawayo,-20.1325,28.6264,8,0,653337,1.2245,0.0
2020-06-08,Bulawayo,-20.1325,28.6264,11,0,653337,1.6837,0.0
2020-06-15,Bulawayo,-20.1325,28.6264,5,0,653337,0.7653,0.0
2020-06-22,Bulawayo,-20.1325,28.6264,3,0,653337,0.4592,0.0
2020-06-29,Bulawayo,-20.1325,28.6264,6,0,653337,0.9184,0.0
2020-07-06,Bulawayo,-20.1325,28.6264,7,0,653337,1.0714,0.0
2020-07-13,Bulawayo,-20.1325,28.6264,11,0,653337,1.6837,0.0
2020-07-20,Bulawayo,-20.1325,28.6264,2,0,653337,0.3061,0.0
2020-07-27,Bulawayo,-20.1325,28.6264,3,0,653337,0.4592,0.0
2020-08-03,Bulawayo,-20.1325,28.6264,9,0,653337,1.3775,0.0
2020-08-10,Bulawayo,-20.1325,28.6264,4,0,653337,0.6122,0.0
2020-08-17,Bulawayo,-20.1325,28.6264,2,0,653337,0.3061,0.0
2020-08-24,Bulawayo,-20.1325,28.6264,4,0,653337,0.6122,0.0
2020-08-31,Bulawayo,-20.1325,28.6264,8,0,653337,1.2245,0.0
2020-09-07,Bulawayo,-20.1325,28.6264,9,0,653337,1.3775,0.0
2020-09-14,Bulawayo,-20.1325,28.6264,14,0,653337,2.1428,0.0
2020-09-21,Bulawayo,-20.1325,28.6264,4,0,653337,0.6122,0.0
2020-09-28,Bulawayo,-20.1325,28.6264,14,0,653337,2.1428,0.0
2020-10-05,Bulawayo,-20.1325,28.6264,9,0,653337,1.3775,0.0
2020-10-12,Bulawayo,-20.1325,28.6264,4,0,653337,0.6122,0.0
2020-10-19,Bulawayo,-20.1325,28.6264,17,0,653337,2.602,0.0
2020-10-26,Bulawayo,-20.1325,28.6264,18,0,653337,2.7551,0.0
2020-11-02,Bulawayo,-20.1325,28.6264,9,1,653337,1.3775,0.1111
2020-11-09,Bulawayo,-20.1325,28.6264,11,0,653337,1.6837,0.0
2020-11-16,Bulawayo,-20.1325,28.6264,4,0,653337,0.6122,0.0
2020-11-23,Bulawayo,-20.1325,28.6264,14,0,653337,2.1428,0.0
2020-11-30,Bulawayo,-20.1325,28.6264,16,0,653337,2.449,0.0
2020-12-07,Bulawayo,-20.1325,28.6264,16,0,653337,2.449,0.0
2020-12-14,Bulawayo,-20.1325,28.6264,4,0,653337,0.6122,0.0
2020-12-21,Bulawayo,-20.1325,28.6264,9,0,653337,1.3775,0.0
2020-12-28,Bulawayo,-20.1325,28.6264,7,0,653337,1.0714,0.0
2021-01-04,Bulawayo,-20.1325,28.6264,18,0,653337,2.7551,0.0
2021-01-11,Bulawayo,-20.1325,28.6264,5,0,653337,0.7653,0.0
2021-01-18,Bulawayo,-20.1325,28.6264,15,0,653337,2.2959,0.0
2021-01-25,Bulawayo,-20.1325,28.6264,9,0,653337,1.3775,0.0
2021-02-01,Bulawayo,-20.1325,28.6264,4,0,653337,0.6122,0.0
2021-02-08,Bulawayo,-20.1325,28.6264,3,0,653337,0.4592,0.0
2021-02-15,Bulawayo,-20.1325,28.6264,6,0,653337,0.9184,0.0
2021-02-22,Bulawayo,-20.1325,28.6264,9,0,653337,1.3775,0.0
2021-03-01,Bulawayo,-20.1325,28.6264,19,0,653337,2.9081,0.0
2021-03-08,Bulawayo,-20.1325,28.6264,3,0,653337,0.4592,0.0
2021-03-15,Bulawayo,-20.1325,28.6264,6,0,653337,0.9184,0.0
2021-03-22,Bulawayo,-20.1325,28.6264,3,0,653337,0.4592,0.0
2021-03-29,Bulawayo,-20.1325,28.6264,11,0,653337,1.6837,0.0
2021-04-05,Bulawayo,-20.1325,28.6264,15,0,653337,2.2959,0.0
2021-04-12,Bulawayo,-20.1325,28.6264,42,0,653337,6.4285,0.0
2021-04-19,Bulawayo,-20.1325,28.6264,23,1,653337,3.5204,0.0435
2021-04-26,Bulawayo,-20.1325,28.6264,6,0,653337,0.9184,0.0
2021-05-03,Bulawayo,-20.1325,28.6264,13,0,653337,1.9898,0.0
2021-05-10,Bulawayo,-20.1325,28.6264,15,0,653337,2.2959,0.0
2021-05-17,Bulawayo,-20.1325,28.6264,11,0,653337,1.6837,0.0
2021-05-24,Bulawayo,-20.1325,28.6264,2,0,653337,0.3061,0.0
2021-05-31,Bulawayo,-20.1325,28.6264,0,0,653337,0.0,0.0
2021-06-07,Bulawayo,-20.1325,28.6264,18,1,653337,2.7551,0.0556
2021-06-14,Bulawayo,-20.1325,28.6264,22,1,653337,3.3673,0.0455
2021-06-21,Bulawayo,-20.1325,28.6264,3,0,653337,0.4592,0.0
2021-06-28,Bulawayo,-20.1325,28.6264,8,0,653337,1.2245,0.0
