date,district,temperature_c,rainfall_mm,humidity_pct
2018-01-01,Bulawayo,18.29,0.1,44.59
2018-01-02,Bulawayo,19.82,1.674,50.69
2018-01-03,Bulawayo,19.03,0.096,40.14
2018-01-04,Bulawayo,18.65,0.025,48.2
2018-01-05,Bulawayo,20.64,0.158,43.26
2018-01-06,Bulawayo,20.27,0.5,36.76
2018-01-07,Bulawayo,22.36,0.483,50.74
2018-01-08,Bulawayo,19.57,1.452,50.79
2018-01-09,Bulawayo,19.91,0.002,32.67
2018-01-10,Bulawayo,21.68,0.006,47.07
2018-01-11,Bulawayo,17.36,0.135,39.76
2018-01-12,Bulawayo,20.55,0.003,38.17
2018-01-13,Bulawayo,22.72,0.17,50.3
2018-01-14,Bulawayo,17.93,0.016,30.06
2018-01-15,Bulawayo,18.2,0.93,44.77
2018-01-16,Bulawayo,19.46,0.041,46.4
2018-01-17,Bulawayo,21.53,0.301,38.87
2018-01-18,Bulawayo,19.09,0.372,36.45
2018-01-19,Bulawayo,20.93,0.456,48.64
2018-01-20,Bulawayo,20.56,0.156,35.39
2018-01-21,Bulawayo,20.43,0.757,42.89
2018-01-22,Bulawayo,19.15,0.725,45.52
2018-01-23,Bulawayo,17.91,0.074,43.5
2018-01-24,Bulawayo,20.59,1.237,47.89
2018-01-25,Bulawayo,17.3,0.239,53.0
2018-01-26,Bulawayo,18.79,0.398,42.11
2018-01-27,Bulawayo,20.59,0.048,44.01
2018-01-28,Bulawayo,21.95,0.005,38.34
2018-01-29,Bulawayo,21.96,0.147,41.72
2018-01-30,Bulawayo,21.49,0.053,36.38
2018-01-31,Bulawayo,18.28,0.33,41.9
2018-02-01,Bulawayo,21.94,0.298,42.66
2018-02-02,Bulawayo,18.21,0.296,39.21
2018-02-03,Bulawayo,20.37,0.389,41.8
2018-02-04,Bulawayo,20.96,0.04,39.29
2018-02-05,Bulawayo,22.29,0.183,35.44
2018-02-06,Bulawayo,22.54,0.572,53.73
2018-02-07,Bulawayo,22.18,0.301,43.02
2018-02-08,Bulawayo,21.87,0.007,39.66
2018-02-09,Bulawayo,19.18,0.017,49.22
2018-02-10,Bulawayo,20.94,0.341,44.25
2018-02-11,Bulawayo,22.25,0.004,40.37
2018-02-12,Bulawayo,21.52,0.056,52.01
2018-02-13,Bulawayo,23.52,0.038,37.01
2018-02-14,Bulawayo,22.28,0.241,35.74
2018-02-15,Bulawayo,25.16,0.158,33.34
2018-02-16,Bulawayo,22.95,0.506,38.11
2018-02-17,Bulawayo,21.35,0.145,34.83
2018-02-18,Bulawayo,20.39,2.126,50.09
2018-02-19,Bulawayo,22.43,0.063,41.43
2018-02-20,Bulawayo,22.9,0.649,42.07
2018-02-21,Bulawayo,20.82,0.035,39.9
2018-02-22,Bulawayo,22.35,0.346,49.51
2018-02-23,Bulawayo,21.98,0.099,45.78
2018-02-24,Bulawayo,18.47,1.669,47.63
2018-02-25,Bulawayo,22.72,1.797,50.51
2018-02-26,Bulawayo,21.85,0.181,45.41
2018-02-27,Bulawayo,22.45,7.625,72.83
2018-02-28,Bulawayo,26.41,0.857,48.72
2018-03-01,Bulawayo,25.27,4.692,58.63
2018-03-02,Bulawayo,22.95,16.181,68.41
2018-03-03,Bulawayo,22.38,2.259,48.09
2018-03-04,Bulawayo,23.57,3.011,49.23
