year,district,lat,lon,population,pop_density_km2,wash_access_pct,poverty_rate,literacy_rate,health_access_pct,open_defecation_pct,water_trucking_events,ocv_coverage_pct
2018,Harare,-17.8292,31.0522,2123132,2450,0.719,0.43,0.8802,0.6594,0.0781,5,0.5464
2019,Harare,-17.8292,31.0522,2176210,2450,0.721,0.4402,0.8862,0.6554,0.0779,6,0.44
2020,Harare,-17.8292,31.0522,2230615,2450,0.737,0.4004,0.8845,0.674,0.0763,4,0.3039
2021,Harare,-17.8292,31.0522,2286380,2450,0.7428,0.3995,0.8837,0.6799,0.0757,1,0.647
2022,Harare,-17.8292,31.0522,2343540,2450,0.7394,0.4302,0.8918,0.6946,0.0761,2,0.6446
2023,Harare,-17.8292,31.0522,2402128,2450,0.7605,0.4324,0.8908,0.7003,0.0739,6,0.6785
2024,Harare,-17.8292,31.0522,2462182,2450,0.7654,0.3885,0.9024,0.7019,0.0735,3,0.5045
2025,Harare,-17.8292,31.0522,2523736,2450,0.7794,0.3888,0.9133,0.7124,0.0721,4,0.7526
2018,Bulawayo,-20.1325,28.6264,653337,1200,0.6843,0.467,0.8784,0.645,0.0816,3,0.6274
2019,Bulawayo,-20.1325,28.6264,669670,1200,0.6914,0.4646,0.872,0.6566,0.0809,5,0.6002
2020,Bulawayo,-20.1325,28.6264,686412,1200,0.6954,0.4476,0.8857,0.6738,0.0805,3,0.4022
2021,Bulawayo,-20.1325,28.6264,703572,1200,0.6995,0.4245,0.8849,0.687,0.08,2,0.6277
2022,Bulawayo,-20.1325,28.6264,721161,1200,0.7184,0.376,0.8924,0.6728,0.0782,6,0.477
2023,Bulawayo,-20.1325,28.6264,739190,1200,0.7215,0.3716,0.8963,0.6937,0.0779,3,0.7178
2024,Bulawayo,-20.1325,28.6264,757670,1200,0.7245,0.3511,0.9014,0.6979,0.0776,5,0.5392
2025,Bulawayo,-20.1325,28.6264,776612,1200,0.7308,0.4335,0.9029,0.729,0.0769,3,0.59
2018,Chitungwiza,-18.0127,31.0758,354472,3100,0.5793,0.4798,0.8792,0.6556,0.0921,3,0.4915
2019,Chitungwiza,-18.0127,31.0758,363333,3100,0.5869,0.47,0.8815,0.682,0.0913,4,0.376
2020,Chitungwiza,-18.0127,31.0758,372417,3100,0.5858,0.3778,0.8788,0.6565,0.0914,6,0.4942
2021,Chitungwiza,-18.0127,31.0758,381727,3100,0.5999,0.455,0.8901,0.6799,0.09,4,0.95
2022,Chitungwiza,-18.0127,31.0758,391270,3100,0.6072,0.4286,0.895,0.689,0.0893,6,0.6569
2023,Chitungwiza,-18.0127,31.0758,401052,3100,0.6198,0.3635,0.897,0.7058,0.088,5,0.4447
2024,Chitungwiza,-18.0127,31.0758,411078,3100,0.637,0.3782,0.905,0.714,0.0863,2,0.5301
2025,Chitungwiza,-18.0127,31.0758,421355,3100,0.6323,0.3811,0.9022,0.7111,0.0868,6,0.6933
2018,Mutare,-18.9707,32.6709,188243,420,0.6133,0.4673,0.8725,0.6662,0.0887,2,0.4211
2019,Mutare,-18.9707,32.6709,192949,420,0.6236,0.4569,0.8744,0.6592,0.0876,4,0.4292
2020,Mutare,-18.9707,32.6709,197772,420,0.622,0.4046,0.8875,0.6582,0.0878,7,0.5657
2021,Mutare,-18.9707,32.6709,202717,420,0.6351,0.4023,0.8835,0.6742,0.0865,10,0.4354
2022,Mutare,-18.9707,32.6709,207785,420,0.648,0.4087,0.9,0.6812,0.0852,5,0.4318
2023,Mutare,-18.9707,32.6709,212979,420,0.6588,0.415,0.8856,0.6965,0.0841,6,0.29
2024,Mutare,-18.9707,32.6709,218304,420,0.6537,0.3783,0.8948,0.7076,0.0846,7,0.745
2025,Mutare,-18.9707,32.6709,223761,420,0.6558,0.3802,0.8994,0.741,0.0844,2,0.1331
2018,Gweru,-19.45,29.8167,157400,380,0.6528,0.4347,0.8744,0.6459,0.0847,2,0.7788
2019,Gweru,-19.45,29.8167,161335,380,0.654,0.4395,0.8695,0.6511,0.0846,4,0.5308
2020,Gweru,-19.45,29.8167,165368,380,0.6649,0.409,0.8884,0.6564,0.0835,6,0.6017
2021,Gweru,-19.45,29.8167,169502,380,0.6723,0.4433,0.8823,0.6844,0.0828,6,0.5706
2022,Gweru,-19.45,29.8167,173740,380,0.6845,0.4107,0.8979,0.6625,0.0815,6,0.6266
2023,Gweru,-19.45,29.8167,178083,380,0.6932,0.3919,0.8923,0.7007,0.0807,4,0.4398
2024,Gweru,-19.45,29.8167,182535,380,0.6993,0.418,0.9031,0.7139,0.0801,2,0.5046
2025,Gweru,-19.45,29.8167,187099,380,0.7106,0.3453,0.8972,0.7219,0.0789,7,0.3709
2018,Kwekwe,-18.9281,29.8147,99146,290,0.603,0.4732,0.8792,0.637,0.0897,2,0.3977
2019,Kwekwe,-18.9281,29.8147,101624,290,0.608,0.4219,0.8719,0.6461,0.0892,2,0.7648
2020,Kwekwe,-18.9281,29.8147,104165,290,0.6189,0.4356,0.8946,0.6554,0.0881,5,0.6367
2021,Kwekwe,-18.9281,29.8147,106769,290,0.6245,0.4591,0.883,0.6807,0.0876,5,0.5138
2022,Kwekwe,-18.9281,29.8147,109438,290,0.6349,0.4001,0.8897,0.683,0.0865,4,0.589
2023,Kwekwe,-18.9281,29.8147,112174,290,0.647,0.4029,0.8943,0.7106,0.0853,9,0.5723
2024,Kwekwe,-18.9281,29.8147,114978,290,0.6535,0.4252,0.8968,0.7017,0.0846,6,0.4997
2025,Kwekwe,-18.9281,29.8147,117853,290,0.6557,0.3914,0.8984,0.7284,0.0844,7,0.5788
2018,Kadoma,-18.3333,29.9167,91688,260,0.6265,0.485,0.8872,0.6643,0.0874,3,0.4655
2019,Kadoma,-18.3333,29.9167,93980,260,0.6211,0.4816,0.8796,0.6576,0.0879,6,0.6124
2020,Kadoma,-18.3333,29.9167,96329,260,0.6335,0.419,0.893,0.676,0.0867,5,0.4589
2021,Kadoma,-18.3333,29.9167,98737,260,0.6455,0.4254,0.8901,0.6914,0.0854,5,0.7098
2022,Kadoma,-18.3333,29.9167,101206,260,0.6516,0.389,0.8918,0.6879,0.0848,5,0.5067
2023,Kadoma,-18.3333,29.9167,103736,260,0.6621,0.4218,0.9057,0.6944,0.0838,7,0.4974
2024,Kadoma,-18.3333,29.9167,106329,260,0.6694,0.3511,0.886,0.7344,0.0831,6,0.5037
2025,Kadoma,-18.3333,29.9167,108988,260,0.6718,0.372,0.8953,0.7283,0.0828,4,0.4722
2018,Masvingo,-20.0667,30.8333,90286,210,0.5518,0.4328,0.8729,0.6688,0.0948,7,0.4848
2019,Masvingo,-20.0667,30.8333,92543,210,0.5569,0.461,0.8873,0.6638,0.0943,3,0.5391
2020,Masvingo,-20.0667,30.8333,94856,210,0.5596,0.4434,0.8791,0.6675,0.094,5,0.5803
2021,Masvingo,-20.0667,30.8333,97228,210,0.5658,0.4017,0.8841,0.7009,0.0934,7,0.3872
2022,Masvingo,-20.0667,30.8333,99658,210,0.588,0.4225,0.9011,0.7,0.0912,7,0.7474
2023,Masvingo,-20.0667,30.8333,102150,210,0.6038,0.3972,0.8941,0.7003,0.0896,4,0.4657
2024,Masvingo,-20.0667,30.8333,104704,210,0.593,0.4373,0.901,0.7053,0.0907,7,0.3767
2025,Masvingo,-20.0667,30.8333,107321,210,0.6082,0.387,0.893,0.726,0.0892,3,0.5568
2018,Chinhoyi,-17.3667,30.2,74309,180,0.6271,0.4349,0.8803,0.6437,0.0873,6,0.9116
2019,Chinhoyi,-17.3667,30.2,76166,180,0.6439,0.4281,0.8783,0.6668,0.0856,4,0.7752
2020,Chinhoyi,-17.3667,30.2,78070,180,0.646,0.4412,0.8859,0.6527,0.0854,3,0.466
2021,Chinhoyi,-17.3667,30.2,80022,180,0.6606,0.4619,0.8932,0.6783,0.0839,4,0.8456
2022,Chinhoyi,-17.3667,30.2,82023,180,0.6636,0.3961,0.897,0.691,0.0836,5,0.7877
2023,Chinhoyi,-17.3667,30.2,84073,180,0.6698,0.3554,0.8991,0.7083,0.083,5,0.5587
2024,Chinhoyi,-17.3667,30.2,86175,180,0.6776,0.4101,0.892,0.7061,0.0822,4,0.5241
2025,Chinhoyi,-17.3667,30.2,88330,180,0.6876,0.3815,0.9035,0.727,0.0812,3,0.5001
2018,Norton,-17.8833,30.7,67527,320,0.5836,0.4409,0.8852,0.6538,0.0916,8,0.4585
2019,Norton,-17.8833,30.7,69215,320,0.5963,0.4401,0.8848,0.6703,0.0904,2,0.6671
2020,Norton,-17.8833,30.7,70945,320,0.6034,0.4282,0.8834,0.6758,0.0897,4,0.311
2021,Norton,-17.8833,30.7,72719,320,0.6122,0.4156,0.8882,0.6902,0.0888,5,0.7075
2022,Norton,-17.8833,30.7,74537,320,0.6192,0.3866,0.8943,0.7071,0.0881,3,0.8164
2023,Norton,-17.8833,30.7,76400,320,0.6296,0.423,0.8984,0.7059,0.087,3,0.5163
2024,Norton,-17.8833,30.7,78310,320,0.636,0.4176,0.9002,0.6936,0.0864,1,0.6735
2025,Norton,-17.8833,30.7,80268,320,0.6434,0.4017,0.8953,0.7006,0.0857,6,0.3933
