date,district,lat,lon,cases,deaths,population_x,incidence_rate,cfr,rainfall_mm,temperature_c,humidity_pct,year,population_y,pop_density_km2,wash_access_pct,poverty_rate,literacy_rate,health_access_pct,open_defecation_pct,water_trucking_events,ocv_coverage_pct,intervention_count,ocv_events,wash_events,cases_lag1w,cases_lag2w,cases_lag4w,cases_lag8w,cases_lag12w,cases_roll4w_mean,cases_roll4w_std,cases_roll8w_mean,cases_roll8w_std,cases_roll13w_mean,cases_roll13w_std,rainfall_lag2w,rainfall_lag4w,rainfall_anomaly,rainfall_4w_cumulative,wash_rain_interaction,risk_score_raw,week_of_year,month,is_rainy_season,year_idx,cases_log
2018-01-01,Bulawayo,-20.1325,28.6264,12.0,0,653337,1.8367,0.0,,,,2018,653337,1200,0.6843,0.467,0.8784,0.645,0.0816,3,0.6274,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,1,1,1,0,2.5649493574615367
2018-01-08,Bulawayo,-20.1325,28.6264,4.0,0,653337,0.6122,0.0,,,,2018,653337,1200,0.6843,0.467,0.8784,0.645,0.0816,3,0.6274,0.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,2,1,1,0,1.6094379124341003
2018-01-15,Bulawayo,-20.1325,28.6264,2.0,0,653337,0.3061,0.0,,,,2018,653337,1200,0.6843,0.467,0.8784,0.645,0.0816,3,0.6274,0.0,0.0,0.0,4.0,12.0,,,,,,,,,,,,,,,,3,1,1,0,1.0986122886681098
2018-01-22,Bulawayo,-20.1325,28.6264,15.0,0,653337,2.2959,0.0,,,,2018,653337,1200,0.6843,0.467,0.8784,0.645,0.0816,3,0.6274,0.0,0.0,0.0,2.0,4.0,,,,,,,,,,,,,,,,4,1,1,0,2.772588722239781
2018-01-29,Bulawayo,-20.1325,28.6264,1.0,0,653337,0.1531,0.0,,,,2018,653337,1200,0.6843,0.467,0.8784,0.645,0.0816,3,0.6274,0.0,0.0,0.0,15.0,2.0,12.0,,,8.25,6.238322424070967,,,,,,,,,,,5,1,1,0,0.6931471805599453
2018-02-05,Bulawayo,-20.1325,28.6264,1.0,0,653337,0.1531,0.0,,,,2018,653337,1200,0.6843,0.467,0.8784,0.645,0.0816,3,0.6274,0.0,0.0,0.0,1.0,15.0,4.0,,,5.5,6.454972243679028,,,,,,,,,,,6,2,1,0,0.6931471805599453
2018-02-12,Bulawayo,-20.1325,28.6264,5.0,0,653337,0.7653,0.0,,,,2018,653337,1200,0.6843,0.467,0.8784,0.645,0.0816,3,0.6274,0.0,0.0,0.0,1.0,1.0,2.0,,,4.75,6.849574196011505,,,,,,,,,,,7,2,1,0,1.791759469228055
2018-02-19,Bulawayo,-20.1325,28.6264,5.0,0,653337,0.7653,0.0,,,,2018,653337,1200,0.6843,0.467,0.8784,0.645,0.0816,3,0.6274,0.0,0.0,0.0,5.0,1.0,15.0,,,5.5,6.60807586719967,,,,,,,,,,,8,2,1,0,1.791759469228055
2018-02-26,Bulawayo,-20.1325,28.6264,11.0,0,653337,1.6837,0.0,,,,2018,653337,1200,0.6843,0.467,0.8784,0.645,0.0816,3,0.6274,0.0,0.0,0.0,5.0,5.0,1.0,12.0,,3.0,2.3094010767585034,5.625,5.180664601601393,,,,,,,,,9,2,1,0,2.4849066497880004
2018-03-05,Bulawayo,-20.1325,28.6264,5.0,0,653337,0.7653,0.0,,,,2018,653337,1200,0.6843,0.467,0.8784,0.645,0.0816,3,0.6274,0.0,0.0,0.0,11.0,5.0,1.0,4.0,,5.5,4.123105625617661,5.5,5.0142653642240695,,,,,,,,,10,3,1,0,1.791759469228055
2018-03-12,Bulawayo,-20.1325,28.6264,8.0,0,653337,1.2245,0.0,,,,2018,653337,1200,0.6843,0.467,0.8784,0.645,0.0816,3,0.6274,0.0,0.0,0.0,5.0,11.0,5.0,2.0,,6.5,3.0000000000000004,5.625,4.983902658989812,,,,,,,,,11,3,1,0,2.1972245773362196
2018-03-19,Bulawayo,-20.1325,28.6264,10.0,0,653337,1.5306,0.0,,,,2018,653337,1200,0.6843,0.467,0.8784,0.645,0.0816,3,0.6274,0.0,0.0,0.0,8.0,5.0,5.0,15.0,,7.25,2.8722813232690148,6.375,4.808846015417836,,,,,,,,,12,3,1,0,2.3978952727983707
2018-03-26,Bulawayo,-20.1325,28.6264,13.0,0,653337,1.9898,0.0,,,,2018,653337,1200,0.6843,0.467,0.8784,0.645,0.0816,3,0.6274,0.0,0.0,0.0,10.0,8.0,11.0,1.0,12.0,8.5,2.645751311064591,5.75,3.7321001364608946,,,,,,,,,13,3,1,0,2.6390573296152584
2018-04-02,Bulawayo,-20.1325,28.6264,7.0,0,653337,1.0714,0.0,,,,2018,653337,1200,0.6843,0.467,0.8784,0.645,0.0816,3,0.6274,0.0,0.0,0.0,13.0,10.0,5.0,1.0,4.0,9.0,3.366501646120693,7.25,3.955105199973465,7.076923076923077,4.7339472335733115,,,,,,,14,4,1,0,2.0794415416798357
2018-04-09,Bulawayo,-20.1325,28.6264,16.0,0,653337,2.449,0.0,,,,2018,653337,1200,0.6843,0.467,0.8784,0.645,0.0816,3,0.6274,0.0,0.0,0.0,7.0,13.0,8.0,5.0,2.0,9.5,2.645751311064591,8.0,3.070597894314954,6.6923076923076925,4.497862740321144,,,,,,,15,4,1,0,2.833213344056216
2018-04-16,Bulawayo,-20.1325,28.6264,10.0,0,653337,1.5306,0.0,,,,2018,653337,1200,0.6843,0.467,0.8784,0.645,0.0816,3,0.6274,0.0,0.0,0.0,16.0,7.0,10.0,5.0,15.0,11.5,3.872983346207417,9.375,3.8890872965260113,7.615384615384615,5.091470997960897,,,,,,,16,4,1,0,2.3978952727983707
2018-04-23,Bulawayo,-20.1325,28.6264,35.0,0,653337,5.3571,0.0,,,,2018,653337,1200,0.6843,0.467,0.8784,0.645,0.0816,3,0.6274,0.0,0.0,0.0,10.0,16.0,13.0,11.0,1.0,11.5,3.872983346207417,10.0,3.4641016151377544,8.23076923076923,4.833112284954113,,,,,,,17,4,1,0,3.58351893845611
2018-04-30,Bulawayo,-20.1325,28.6264,17.0,0,653337,2.602,0.0,,,,2018,653337,1200,0.6843,0.467,0.8784,0.645,0.0816,3,0.6274,0.0,0.0,0.0,35.0,10.0,7.0,5.0,1.0,17.0,12.569805089976535,13.0,9.531901324349873,9.76923076923077,8.757414441049807,,,,,,,18,4,1,0,2.8903717578961645
2018-05-07,Bulawayo,-20.1325,28.6264,15.0,0,653337,2.2959,0.0,,,,2018,653337,1200,0.6843,0.467,0.8784,0.645,0.0816,3,0.6274,0.0,0.0,0.0,17.0,35.0,16.0,8.0,5.0,19.5,10.785793124908958,14.5,9.023778112773575,11.0,8.544003745317532,,,,,,,19,5,0,0,2.772588722239781
2018-05-14,Bulawayo,-20.1325,28.6264,21.0,0,653337,3.2143,0.0,,,,2018,653337,1200,0.6843,0.467,0.8784,0.645,0.0816,3,0.6274,0.0,0.0,0.0,15.0,17.0,10.0,10.0,5.0,19.25,10.90489186863706,15.375,8.634441002668988,12.076923076923077,8.046340145904209,,,,,,,20,5,0,0,3.091042453358316
2018-05-21,Bulawayo,-20.1325,28.6264,9.0,0,653337,1.3775,0.0,,,,2018,653337,1200,0.6843,0.467,0.8784,0.645,0.0816,3,0.6274,0.0,0.0,0.0,21.0,15.0,35.0,13.0,11.0,22.0,9.018499505645789,16.75,8.531454406237795,13.307692307692308,8.097166329284745,,,,,,,21,5,0,0,2.302585092994046
2018-05-28,Bulawayo,-20.1325,28.6264,13.0,0,653337,1.9898,0.0,,,,2018,653337,1200,0.6843,0.467,0.8784,0.645,0.0816,3,0.6274,0.0,0.0,0.0,9.0,21.0,17.0,7.0,5.0,15.5,5.000000000000002,16.25,8.892211680534185,13.615384615384615,7.826647446794207,,,,,,,22,5,0,0,2.6390573296152584
2018-06-04,Bulawayo,-20.1325,28.6264,12.0,1,653337,1.8367,0.0833,,,,2018,653337,1200,0.6843,0.467,0.8784,0.645,0.0816,3,0.6274,0.0,0.0,0.0,13.0,9.0,15.0,16.0,8.0,14.5,5.000000000000002,17.0,8.228869042236953,13.76923076923077,7.790526791707204,,,,,,,23,6,0,0,2.5649493574615367
