date,district,intervention_type,coverage_pct,duration_days,beneficiaries,funding_source
2018-05-21,Bulawayo,OCV_Campaign,0.264,13,19830,USAID
2019-03-21,Bulawayo,Water_Trucking,0.251,52,21727,USAID
2019-06-25,Bulawayo,Water_Treatment,0.67,28,18379,MoHCC
2019-08-06,Bulawayo,Hygiene_Promotion,0.886,51,47592,World Bank
2019-08-20,Bulawayo,OCV_Campaign,0.88,54,22091,USAID
2019-10-25,Bulawayo,Water_Trucking,0.231,37,45204,MoHCC
2020-09-23,Bulawayo,WASH_Infrastructure,0.636,81,7833,UNICEF
2021-09-10,Bulawayo,Case_Isolation,0.208,82,30662,WHO
2022-09-03,Bulawayo,Water_Treatment,0.438,89,31186,USAID
2022-12-09,Bulawayo,Water_Treatment,0.287,27,48090,MSF
2024-01-06,Bulawayo,WASH_Infrastructure,0.832,78,8112,UNICEF
2024-03-01,Bulawayo,OCV_Campaign,0.746,20,47155,USAID
2024-08-21,Bulawayo,OCV_Campaign,0.21,25,42355,MoHCC
2024-11-10,Bulawayo,Water_Treatment,0.556,46,4067,MSF
2025-04-02,Bulawayo,OCV_Campaign,0.375,82,43986,UNICEF
2025-05-26,Bulawayo,OCV_Campaign,0.529,33,23085,UNICEF
2025-08-21,Bulawayo,Case_Isolation,0.611,43,17622,USAID
2025-12-23,Bulawayo,Water_Trucking,0.808,41,18043,WHO
2018-04-21,Chinhoyi,Case_Isolation,0.285,38,5315,MoHCC
2018-05-19,Chinhoyi,OCV_Campaign,0.565,77,901,WHO
2018-05-22,Chinhoyi,WASH_Infrastructure,0.625,65,39013,UNICEF
2018-07-19,Chinhoyi,Case_Isolation,0.754,80,17446,MoHCC
2018-12-03,Chinhoyi,Case_Isolation,0.369,3,38800,MSF
2019-01-23,Chinhoyi,OCV_Campaign,0.415,76,27035,MoHCC
2019-05-24,Chinhoyi,WASH_Infrastructure,0.586,45,30234,WHO
2019-07-24,Chinhoyi,Water_Treatment,0.857,55,12971,WHO
2019-09-14,Chinhoyi,Case_Isolation,0.837,72,12739,MoHCC
2019-11-05,Chinhoyi,Case_Isolation,0.587,34,7810,MSF
2020-07-12,Chinhoyi,Water_Treatment,0.326,34,12821,MoHCC
2020-10-19,Chinhoyi,Water_Trucking,0.259,84,19051,World Bank
2021-01-08,Chinhoyi,Case_Isolation,0.423,86,30400,MoHCC
2021-01-12,Chinhoyi,WASH_Infrastructure,0.358,18,4602,MSF
2021-01-22,Chinhoyi,OCV_Campaign,0.575,88,20821,MoHCC
2021-05-24,Chinhoyi,Water_Treatment,0.618,56,10430,UNICEF
2021-07-26,Chinhoyi,Hygiene_Promotion,0.38,78,25782,MoHCC
2021-08-11,Chinhoyi,WASH_Infrastructure,0.582,80,36879,UNICEF
2021-08-19,Chinhoyi,WASH_Infrastructure,0.641,36,5321,World Bank
2022-05-26,Chinhoyi,Case_Isolation,0.536,4,23564,USAID
2022-10-01,Chinhoyi,Water_Trucking,0.809,35,32965,MSF
2023-09-15,Chinhoyi,Hygiene_Promotion,0.891,85,31103,UNICEF
2023-09-24,Chinhoyi,Water_Treatment,0.77,21,10379,WHO
2024-01-07,Chinhoyi,OCV_Campaign,0.688,13,17132,USAID
2024-03-27,Chinhoyi,WASH_Infrastructure,0.755,79,8344,World Bank
2024-07-26,Chinhoyi,Case_Isolation,0.655,52,20239,USAID
2024-10-12,Chinhoyi,Case_Isolation,0.791,86,40095,USAID
2024-12-17,Chinhoyi,OCV_Campaign,0.8,88,45635,MoHCC
2025-03-05,Chinhoyi,Water_Treatment,0.589,12,10323,USAID
2025-03-10,Chinhoyi,Water_Trucking,0.609,25,6141,WHO
2025-06-10,Chinhoyi,Water_Trucking,0.431,31,29574,USAID
2025-07-02,Chinhoyi,Water_Treatment,0.364,13,19248,World Bank
2025-11-10,Chinhoyi,Hygiene_Promotion,0.422,42,22123,MoHCC
2018-02-23,Chitungwiza,Water_Trucking,0.449,61,17047,MoHCC
2018-05-04,Chitungwiza,Water_Treatment,0.824,32,6274,World Bank
2019-04-06,Chitungwiza,OCV_Campaign,0.832,66,31004,WHO
2020-06-09,Chitungwiza,Water_Treatment,0.704,79,10512,MoHCC
2020-07-10,Chitungwiza,Hygiene_Promotion,0.894,46,10842,MSF
2020-11-08,Chitungwiza,Water_Treatment,0.324,83,33586,USAID
2021-01-21,Chitungwiza,Water_Trucking,0.33,35,32387,WHO
2021-11-09,Chitungwiza,OCV_Campaign,0.86,45,3586,WHO
2022-05-17,Chitungwiza,Water_Treatment,0.818,47,48161,World Bank
2022-09-09,Chitungwiza,Hygiene_Promotion,0.545,68,35097,MSF
2022-12-18,Chitungwiza,Water_Trucking,0.681,55,29241,WHO
2023-01-06,Chitungwiza,WASH_Infrastructure,0.451,63,28177,USAID
2023-03-08,Chitungwiza,Water_Trucking,0.484,83,2133,USAID
2023-07-10,Chitungwiza,WASH_Infrastructure,0.611,16,44904,MoHCC
2023-09-10,Chitungwiza,Water_Trucking,0.316,80,7159,UNICEF
2023-10-25,Chitungwiza,Water_Trucking,0.8,22,22059,World Bank
2024-03-03,Chitungwiza,Hygiene_Promotion,0.312,33,8702,USAID
2024-05-10,Chitungwiza,Water_Trucking,0.64,70,43338,WHO
2024-08-12,Chitungwiza,Water_Trucking,0.834,50,14413,World Bank
2024-09-06,Chitungwiza,Water_Treatment,0.248,70,43553,World Bank
2024-11-08,Chitungwiza,Case_Isolation,0.602,69,47274,MSF
2025-02-17,Chitungwiza,OCV_Campaign,0.422,63,28710,WHO
2025-05-11,Chitungwiza,Hygiene_Promotion,0.746,62,29714,World Bank
2025-06-16,Chitungwiza,WASH_Infrastructure,0.677,80,10827,USAID
2025-12-04,Chitungwiza,Hygiene_Promotion,0.63,17,37314,MSF
2018-01-24,Gweru,WASH_Infrastructure,0.806,24,32636,MoHCC
2019-05-01,Gweru,Water_Treatment,0.765,49,42597,MSF
2019-05-10,Gweru,Water_Trucking,0.552,30,29051,UNICEF
2019-06-23,Gweru,Case_Isolation,0.364,79,28364,USAID
2019-11-15,Gweru,Water_Treatment,0.378,3,47394,WHO
2020-11-10,Gweru,WASH_Infrastructure,0.776,58,45786,World Bank
2021-03-08,Gweru,OCV_Campaign,0.304,78,41187,World Bank
2021-03-20,Gweru,Water_Trucking,0.776,30,32831,World Bank
2021-05-01,Gweru,WASH_Infrastructure,0.308,66,16256,USAID
2021-07-20,Gweru,Case_Isolation,0.682,62,45369,World Bank
2021-11-24,Gweru,Case_Isolation,0.232,67,28545,UNICEF
2022-01-10,Gweru,Water_Treatment,0.254,83,17954,World Bank
2023-05-08,Gweru,OCV_Campaign,0.816,53,3577,World Bank
2023-06-04,Gweru,Water_Trucking,0.702,54,26784,MSF
2024-08-02,Gweru,OCV_Campaign,0.326,28,28753,World Bank
2025-04-14,Gweru,Water_Trucking,0.524,40,13257,MoHCC
2025-06-02,Gweru,Hygiene_Promotion,0.811,21,46881,MSF
2018-03-13,Harare,Water_Trucking,0.316,81,33037,WHO
2018-03-17,Harare,WASH_Infrastructure,0.263,70,24855,MSF
2018-06-07,Harare,Case_Isolation,0.582,82,18803,USAID
2018-06-24,Harare,Water_Trucking,0.64,70,33157,USAID
2019-05-17,Harare,Case_Isolation,0.606,78,45307,MoHCC
2019-07-24,Harare,WASH_Infrastructure,0.561,17,17982,MoHCC
2019-08-27,Harare,Case_Isolation,0.732,3,44165,UNICEF
2020-05-08,Harare,Water_Treatment,0.331,29,47885,WHO
2020-06-23,Harare,Water_Trucking,0.306,62,8184,USAID
2020-08-10,Harare,Case_Isolation,0.535,44,22816,USAID
2020-09-12,Harare,Case_Isolation,0.777,75,11418,UNICEF
2021-01-23,Harare,Hygiene_Promotion,0.39,80,45713,WHO
2021-07-17,Harare,Water_Treatment,0.659,81,42476,World Bank
2021-08-24,Harare,Water_Treatment,0.713,80,21274,WHO
2021-12-23,Harare,Water_Treatment,0.341,12,9531,MSF
2022-02-10,Harare,Water_Treatment,0.527,76,30080,USAID
2022-03-09,Harare,Water_Treatment,0.21,48,12618,MoHCC
2022-03-15,Harare,WASH_Infrastructure,0.526,72,45442,USAID
2022-03-18,Harare,Case_Isolation,0.406,85,18328,MoHCC
2022-04-05,Harare,Case_Isolation,0.466,87,24887,UNICEF
